,Course Code,INSTITUTION and COURSE,EOS,Mid
145,CK402,Biological and Chemical Sciences,498,520
146,CK404,"Biological, Earth and Environmental Sciences",412,451
147,CK405,Genetics,476,496
148,CK406,Chemical Sciences,457,488
149,CK407,Mathematical Sciences,531,578
150,CK408,Physics and Astrophysics,511,566
151,CK409,Industrial Physics (offered jointly by UCC and CIT),413,532
152,CK411,Data Science and Analytics,509,542
153,CK412,Agricultural Science,457,509
154,CK502,Food Marketing and Entrepreneurship,433,456
155,CK504,Nutritional Sciences,492,509
156,CK505,Food Science,444,477
157,CK506,International Development and Food Policy,367,410
158,CK600,Engineering,465,532
159,CK606,Architecture (offered jointly by UCC and CIT),465,496
160,CK701,Medicine (Undergraduate Entry - HPAT required),#729,740
161,CK702,Dentistry,590,613
162,CK703,Pharmacy,577,589
163,CK704,Occupational Therapy,532*,554
164,CK705,Speech and Language Therapy,509,529
165,CK706,Public Health Sciences,419,451
166,CK707,Medical and Health Sciences,510*,543
167,CK710,General Nursing,440,466
168,CK712,Children`s and General Nursing (Integrated),499,520
169,CK720,Mental Health Nursing,398,429
170,CK730,Intellectual Disability Nursing,359,388
171,CK740,Midwifery,444,474
172,CK791,Medicine  - Graduate Entry (GAMSAT required),#58*,59
174,AC120,International Business,234,269
175,AC137,Liberal Arts,252,275
177,CT125,Information Technology,235,280
179,CM001,Education - Primary Teaching,452*,462
180,CM002,Education - Primary Teaching - Gaeltacht Applicants,#421,440
181,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,506
182,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,569
183,CM010,Education Studies,317,373
184,CM020,Early Childhood Education,336,363
186,DB500,Computing,242,320
187,DB501,Computing (Cloud Computing),326,329
188,DB502,Computing (Data Analytics and Big Data),269,269
189,DB503,Computing (Software Development),242,282
190,DB504,Computing (Web and Mobile Technology),227,269
191,DB510,Audio Production and Music Project Management,233,293
192,DB512,Business Studies,229,301
193,DB514,Business Studies (Law),269,337
194,DB515,Business Studies (Human Resource Management),225,288
195,DB516,Financial Services,328,336
196,DB517,Event Management,226,327
197,DB518,Marketing (Digital Media),210,289
198,DB521,Accounting and Finance,225,271
199,DB524,Business Information Systems,402,402
200,DB525,Marketing (Digital Media and Cloud Computing),284,309
201,DB526,Business Information Systems (Cloud Computing),253,288
202,DB527,Applied Social Care,235,288
203,DB531,Marketing,220,288
204,DB562,Psychology,208,310
205,DB566,Social Science,216,308
206,DB567,Film,192,295
207,DB568,Law,245,308
208,DB569,Business (Psychology),279,338
210,DC001,Education - Early Childhood Education,398,424
211,DC002,Education - Primary Teaching,462*,485
212,DC003,Education - Primary Teaching - Gaeltacht Applicants,#433,473
214,DC005,Education - Primary Teaching - Irish Sign Language,#316,316
215,DC009,Arts (Joint Honours) - Humanities,347,408
216,DC010,Post Primary Teacher Education - Religious Education and English,386,413
217,DC011,Post Primary Teacher Education - Religious Education and History,352,389
218,DC012,Post Primary Teacher Education - Religious Education and Music,#367,415
219,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509
220,DC014,BA in Jazz and Contemporary Music Performance,#428,590
221,DC110,Business Studies International,440,462
222,DC111,Business Studies,463,479
223,DC112,Global Business (France),495,510
224,DC113,Global Business (Germany),440,476
