,Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019
128,CK123,Anthropology,308.0,,
129,CK124,Education - Gaeilge,473.0,,
130,CK125,Sports Studies and Physical Education,555.0,,
131,CK201,Commerce,499.0,,
132,CK202,Accounting,543.0,,
133,CK203,Business Information Systems,452.0,,
134,CK204,Finance,566.0,,
135,CK205,Commerce (International) with French,465.0,,
136,CK206,Commerce (International) with German,455.0,,
137,CK207,Commerce (International) with Italian,418.0,,
138,CK208,Commerce (International) with Hispanic Studies,486.0,,
139,CK209,Commerce (International) with Irish,507.0,,
140,CK211,Commerce (International) with Chinese Studies,385.0,,
141,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),444.0,,
142,CK213,Food Marketing and Entrepreneurship,466.0,,
143,CK214,International Development,332.0,,
144,CK301,Law (Pathways) -  3 or 4 years,532.0,,
145,CK302,Law and French,545.0,,
146,CK304,Law and Irish,588.0,,
147,CK307,Law and Business,589.0,,
148,CK401,Computer Science,495.0,,
149,CK402,Biological and Chemical Sciences,555.0,,
150,CK404,"Biological, Earth and Environmental Sciences",495.0,,
151,CK405,Genetics,543.0,,
152,CK406,Chemical Sciences,532.0,,
153,CK407,Mathematical Sciences,566.0,,
154,CK408,Physics and Astrophysics,566.0,,
155,CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,,
156,CK411,Data Science and Analytics,531.0,,
157,CK412,Agricultural Science,506.0,,
158,CK502,Food Marketing and Entrepreneurship,554.0,,
159,CK504,Nutritional Sciences,463.0,,
160,CK505,Food Science,509.0,,
161,CK506,International Development and Food Policy,543.0,,
162,CK600,Engineering,737.0,,
163,CK606,Architecture - Offered jointly by UCC and CIT,625.0,,
164,CK701,Medicine (Undergraduate Entry - HPAT required),613.0,,
165,CK702,Dentistry,601.0,,
166,CK703,Pharmacy,566.0,,
167,CK704,Occupational Therapy,500.0,,
168,CK705,Speech and Language Therapy,578.0,,
169,CK706,Public Health Sciences,497.0,,
170,CK707,Medical and Health Sciences,565.0,,
171,CK710,General Nursing,452.0,,
172,CK712,Children`s and General Nursing (Integrated),431.0,,
173,CK720,Mental Health Nursing,509.0,,
174,CK730,Intellectual Disability Nursing,60.0,,
175,CK740,Midwifery,294.0,,
176,CK791,Medicine  - Graduate Entry (GAMSAT required),270.0,,
177,CM001,Education - Primary Teaching,242.0,,
178,CM002,Education - Primary Teaching - Gaeltacht Applicants,253.0,,
179,CM003,Oideachas â€“ BunmhÃºinteoireacht TrÃ­ MheÃ¡n na Gaeilg,508.0,,
180,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,462.0,,
181,CM010,Education Studies,513.0,,
182,CM020,Early Childhood Education,480.0,,
183,CR001,Applied Physics and Instrumentation,327.0,,
184,CR006,Applied Biosciences,317.0,,
185,CR007,Analytical and Pharmaceutical Chemistry,234.0,,
186,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),,,
187,CR016,Software Development,233.0,,
188,CR021,Business (Common Entry),,,
189,CR022,Business Administration,,,
190,CR031,Social Care Work,217.0,,
191,CR032,Recreation and Leisure Management,210.0,,
192,CR035,Community Development,225.0,,
193,CR041,Tourism Management,217.0,,
194,CR042,Hospitality Management,225.0,,
195,CR046,Automotive Technology and Management,209.0,,
196,CR051,Civil Engineering,228.0,,
197,CR052,Construction,239.0,,
198,CR053,Interior Architecture,288.0,,
199,CR055,Environmental Engineering,244.0,,
200,CR061,Electronic Engineering,219.0,,
201,CR062,Electrical Engineering,176.0,,
202,CR071,Mechanical Engineering,233.0,,
203,CR075,Biomedical Engineering,228.0,,
204,CR090,Architectural Technology,213.0,,
205,CR094,Nautical Science at National Maritime College of Ireland,228.0,,
206,CR095,Marine Engineering at National Maritime College of Ireland,240.0,,
207,CR105,Chemical and Biopharmaceutical Engineering,445.0,,
208,CR106,Software Development,518.0,,
209,CR108,Mechanical Engineering,489.0,,
210,CR109,Structural Engineering,451.0,,
211,CR110,Automotive Business Management and Technology,356.0,,
212,CR112,Creative Digital Media at CIT Crawford College of,384.0,,
213,CR116,Computer Systems,409.0,,
214,CR121,Music at CIT Cork School of Music,409.0,,
215,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,413.0,,
216,CR126,Popular Music: Drums at CIT Cork School of Music,311.0,,
217,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,498.0,,
218,CR128,Popular Music: Keyboards at CIT Cork School of Music,511.0,,
219,CR129,Popular Music: Voice at CIT Cork School of Music,542.0,,
220,CR130,Musical Theatre,484.0,,
221,CR150,Business Information Systems,544.0,,
222,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",544.0,,
223,CR220,Fine Art at CIT Crawford College of Art and Design,613.0,,
224,CR225,Photography with New Media,484.0,,
225,CR300,Physical Sciences (Common Entry),368.0,,
226,CR305,Physical Sciences (Common Entry),601.0,,
227,CR310,IT Management,402.0,,
228,CR320,Biomedical Science - Offered jointly by CIT and UC,475.0,,
229,CR325,Pharmaceutical Biotechnology,501.0,,
230,CR333,Nutrition and Health Science,577.0,,
231,CR335,Biological Sciences (Common Entry),541.0,,
232,CR340,Analytical Chemistry with Quality Assurance,421.0,,
233,CR360,Instrument Engineering,452.0,,
234,CR365,Environmental Science and Sustainable Technology,435.0,,
235,CR370,Agri-Biosciences,427.0,,
236,CR400,Accounting,498.0,,
237,CR420,Marketing,531.0,,
238,CR425,International Business with Language,466.0,,
239,CR430,Sport and Exercise Management,423.0,,
240,CR435,Coaching Science and Sports Pedagogy,543.0,,
241,CR440,Montessori Education,400.0,,
242,CR500,Engineering (Common Entry),530.0,,
243,CR510,Sustainable Energy Engineering,530.0,,
244,CR520,Biomedical Engineering,488.0,,
245,CR560,Architectural Technology,490.0,,
246,CR565,Interior Architecture,476.0,,
247,CR570,Quantity Surveying,500.0,,
248,CR572,Construction Management,510.0,,
249,CR580,Electrical Engineering,510.0,,
250,CR590,Electronic Engineering,511.0,,
251,CR600,Visual Communications at CIT Crawford College of A,462.0,,
252,CR620,Early Childhood Education and Care,558.0,,
253,CR640,Culinary Arts,565.0,,
254,CR650,Beverage Industry Management,521.0,,
255,CR655,Culinary Studies,521.0,,
256,CR657,Hospitality Studies,565.0,,
257,CR660,Tourism Management,477.0,,
258,CR700,Theatre and Drama Studies at CIT Cork School of Music,506.0,,
259,CR805,Marine Electrotechnology at National Maritime College of Ireland,456.0,,
260,CR888,Information Technology,420.0,,
261,CR930,Home Economics and Business,382.0,,
262,CT110,Computing in Information Technology,521.0,,
263,CT116,Information Technology,431.0,,
264,CT125,Information Technology,398.0,,
265,CT325,Business,469.0,,
266,CW006,Business,302.0,,
267,CW018,Business (options),387.0,,
268,CW027,Sustainable Farm Management and Agribusiness,499.0,,
269,CW028,Early Childhood Education and Care,509.0,,
270,CW037,Business (options),350.0,,
271,CW038,"Art (portfolio, Wexford)",400.0,,
272,CW047,Visual Communications and Design,379.0,,
273,CW057,Art (portfolio),475.0,,
274,CW058,Tourism and Event Management (Wexford),349.0,,
275,CW068,Applied Social Studies in Professional Social Care,254.0,,
276,CW077,Tourism and Event Management,220.0,,
277,CW078,Sustainable Farm Management and Agribusiness,413.0,,
278,CW088,Visual Communications and Design,591.0,,
279,CW106,Physiology and Health Science,574.0,,
280,CW107,Analytical Science,989.0,,
281,CW108,Science (options),671.0,,
282,CW116,Pharmacy Technician Studies,235.0,,
283,CW117,Biosciences,293.0,,
284,CW126,Science - Applied Biology or Applied Chemistry,713.0,,
285,CW128,Brewing and Distilling,757.0,,
286,CW138,Sport and Exercise Science,210.0,,
287,CW148,Strength and Conditioning,277.0,,
288,CW178,Sport Science (options),874.0,,
289,CW188,Sport Rehabilitation and Athletic Therapy,566.0,,
290,CW206,Computing - Applications or Programming,628.0,,
291,CW207,Software Development,242.0,,
292,CW208,Computer Games Development,226.0,,
293,CW217,Information Technology Management,289.0,,
294,CW227,Cybercrime and IT Security,264.0,,
295,CW237,Computing in Interactive Digital Art and Design,,,
296,CW238,Software Development,377.0,,
297,CW248,Information Technology Management,270.0,,
298,CW258,Cybercrime and IT Security,228.0,,
299,CW268,Computing in Interactive Digital Art and Design,242.0,,
300,CW407,Architectural Technology,,,
301,CW417,Construction Management with Building Services,242.0,,
302,CW427,Civil Engineering,264.0,,
303,CW438,Construction (options),251.0,,
304,CW468,Architectural Technology,225.0,,
305,CW478,Civil Engineering,300.0,,
306,CW507,Aircraft Systems,274.0,,
307,CW517,Mechanical Engineering,351.0,,
308,CW527,Electronic Engineering,210.0,,
309,CW547,TV and Media Production,,,
310,CW548,Mechanical Engineering,,,
311,CW558,Electronic Systems,554.0,,
312,CW568,Aerospace Engineering,538.0,,
313,CW578,TV and Media Production,505.0,,
314,CW706,Legal Studies,591.0,,
315,CW707,Industrial Design,514.0,,
316,CW708,Law - LLB,679.0,,
317,CW717,Professional Social Care Practice,413.0,,
318,CW728,Product Design Innovation,300.0,,
319,CW748,Early Childhood Education and Care,738.0,,
