,Course_Code,Course_Title,EOS_2019,Mid,finalPoints2019
119,CK111,Early Years and Childhood Studies,398.0,429,398.0
120,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),,470,
121,CK113,Criminology - 3 years or 4 years (International Pathway),408.0,430,408.0
124,CK116,Sports Studies and Physical Education,499.0,520,499.0
125,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307.0,361,307.0
126,CK120,Applied Psychology,506.0,532,506.0
127,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393.0,466,393.0
128,CK122,Government and Political Science,355.0,410,355.0
129,CK201,Commerce,,489,
130,CK202,Accounting,467.0,506,467.0
131,CK203,Business Information Systems,409.0,444,409.0
132,CK204,Finance,531.0,555,531.0
133,CK205,Commerce (International) with French,409.0,473,409.0
134,CK206,Commerce (International) with German,408.0,446,408.0
135,CK207,Commerce (International) with Italian,408.0,425,408.0
136,CK208,Commerce (International) with Hispanic Studies,431.0,455,431.0
137,CK209,Commerce (International) with Irish,509.0,528,509.0
138,CK211,Commerce (International) with Chinese Studies,398.0,420,398.0
139,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400.0,429,400.0
140,CK301,Law (Pathways) -  3 or 4 years,476.0,519,476.0
141,CK302,Law and French,453.0,531,453.0
142,CK304,Law and Irish,462.0,510,462.0
143,CK307,Law and Business,522.0,554,522.0
144,CK401,Computer Science,402.0,456,402.0
145,CK402,Biological and Chemical Sciences,498.0,520,498.0
146,CK404,"Biological, Earth and Environmental Sciences",412.0,451,412.0
147,CK405,Genetics,476.0,496,476.0
148,CK406,Chemical Sciences,457.0,488,457.0
149,CK407,Mathematical Sciences,531.0,578,531.0
150,CK408,Physics and Astrophysics,511.0,566,511.0
151,CK409,Industrial Physics (offered jointly by UCC and CIT),413.0,532,413.0
152,CK411,Data Science and Analytics,509.0,542,509.0
153,CK412,Agricultural Science,457.0,509,457.0
154,CK502,Food Marketing and Entrepreneurship,433.0,456,433.0
155,CK504,Nutritional Sciences,492.0,509,492.0
156,CK505,Food Science,444.0,477,444.0
157,CK506,International Development and Food Policy,367.0,410,367.0
158,CK600,Engineering,465.0,532,465.0
159,CK606,Architecture (offered jointly by UCC and CIT),465.0,496,465.0
160,CK701,Medicine (Undergraduate Entry - HPAT required),,740,
161,CK702,Dentistry,590.0,613,590.0
162,CK703,Pharmacy,577.0,589,577.0
163,CK704,Occupational Therapy,,554,
164,CK705,Speech and Language Therapy,509.0,529,509.0
165,CK706,Public Health Sciences,419.0,451,419.0
166,CK707,Medical and Health Sciences,,543,
167,CK710,General Nursing,440.0,466,440.0
168,CK712,Children`s and General Nursing (Integrated),499.0,520,499.0
169,CK720,Mental Health Nursing,398.0,429,398.0
170,CK730,Intellectual Disability Nursing,359.0,388,359.0
171,CK740,Midwifery,444.0,474,444.0
172,CK791,Medicine  - Graduate Entry (GAMSAT required),,59,
174,AC120,International Business,234.0,269,234.0
175,AC137,Liberal Arts,252.0,275,252.0
177,CT125,Information Technology,235.0,280,235.0
179,CM001,Education - Primary Teaching,,462,
180,CM002,Education - Primary Teaching - Gaeltacht Applicants,,440,
181,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,,506,
182,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),,569,
183,CM010,Education Studies,317.0,373,317.0
184,CM020,Early Childhood Education,336.0,363,336.0
186,DB500,Computing,242.0,320,242.0
187,DB501,Computing (Cloud Computing),326.0,329,326.0
188,DB502,Computing (Data Analytics and Big Data),269.0,269,269.0
189,DB503,Computing (Software Development),242.0,282,242.0
190,DB504,Computing (Web and Mobile Technology),227.0,269,227.0
191,DB510,Audio Production and Music Project Management,233.0,293,233.0
192,DB512,Business Studies,229.0,301,229.0
193,DB514,Business Studies (Law),269.0,337,269.0
194,DB515,Business Studies (Human Resource Management),225.0,288,225.0
195,DB516,Financial Services,328.0,336,328.0
196,DB517,Event Management,226.0,327,226.0
197,DB518,Marketing (Digital Media),210.0,289,210.0
198,DB521,Accounting and Finance,225.0,271,225.0
199,DB524,Business Information Systems,402.0,402,402.0
200,DB525,Marketing (Digital Media and Cloud Computing),284.0,309,284.0
201,DB526,Business Information Systems (Cloud Computing),253.0,288,253.0
202,DB527,Applied Social Care,235.0,288,235.0
203,DB531,Marketing,220.0,288,220.0
204,DB562,Psychology,208.0,310,208.0
205,DB566,Social Science,216.0,308,216.0
206,DB567,Film,192.0,295,192.0
207,DB568,Law,245.0,308,245.0
208,DB569,Business (Psychology),279.0,338,279.0
210,DC001,Education - Early Childhood Education,398.0,424,398.0
211,DC002,Education - Primary Teaching,,485,
212,DC003,Education - Primary Teaching - Gaeltacht Applicants,,473,
214,DC005,Education - Primary Teaching - Irish Sign Language,,316,
215,DC009,Arts (Joint Honours) - Humanities,347.0,408,347.0
216,DC010,Post Primary Teacher Education - Religious Education and English,386.0,413,386.0
217,DC011,Post Primary Teacher Education - Religious Education and History,352.0,389,352.0
218,DC012,Post Primary Teacher Education - Religious Education and Music,,415,
219,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410.0,509,410.0
220,DC014,BA in Jazz and Contemporary Music Performance,,590,
221,DC110,Business Studies International,440.0,462,440.0
222,DC111,Business Studies,463.0,479,463.0
223,DC112,Global Business (France),495.0,510,495.0
224,DC113,Global Business (Germany),440.0,476,440.0
225,DC114,Global Business (Spain),501.0,543,501.0
226,DC115,Accounting and Finance,487.0,500,487.0
227,DC116,Global Business (USA),578.0,589,578.0
228,DC117,Aviation Management / Aviation Management with Pilot Studies,463.0,487,463.0
