,Course_Code,Course_Title,EOS_2019,Mid,finalPoints2019
558,DK820,Computing in Games Development,307.0,369,307.0
559,DK821,Computing in Software Development,301.0,347,301.0
560,DK830,Building Surveying,302.0,349,302.0
561,DK831,Architectural Technology,301.0,366,301.0
562,DK832,Construction Management,300.0,329,300.0
563,DK843,Engineering (Common Entry),303.0,402,303.0
564,DK860,Music,,649,
565,DK861,Arts,300.0,358,300.0
566,DK862,Social Care,300.0,338,300.0
567,DK863,Creative Media,300.0,376,300.0
568,DK864,Film and Television Production,300.0,332,300.0
569,DK865,Audio and Music Production,301.0,346,301.0
570,DK870,General Nursing,392.0,401,392.0
571,DK872,Intellectual Disability Nursing,300.0,317,300.0
572,DK874,Mental Health Nursing,356.0,378,356.0
573,DK876,Early Childhood Studies,305.0,359,305.0
574,DK877,Midwifery,,441,
575,DK880,Health and Physical Activity,300.0,367,300.0
576,DK882,Agriculture (Award options),303.0,358,303.0
577,DK883,Science (Award options),300.0,369,300.0
579,GA181,Accounting,303.0,378,303.0
580,GA182,Business,290.0,347,290.0
581,GA183,Business Information Systems,309.0,373,309.0
582,GA184,Marketing and Sales,307.0,348,307.0
583,GA185,Finance and Economics,307.0,398,307.0
584,GA186,Business with Entrepreneurship,297.0,328,297.0
585,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280.0,367,280.0
586,GA281,Film and Documentary,287.0,360,287.0
587,GA282,Heritage Studies,238.0,308,238.0
588,GA283,Contemporary Art,260.0,340,260.0
589,GA284,Design,309.0,377,309.0
590,GA380,International Hotel Management,225.0,289,225.0
591,GA381,International Tourism Management,261.0,290,261.0
592,GA382,Culinary and Gastronomic Science,225.0,316,225.0
593,GA384,Event Management with Public Relations,209.0,289,209.0
594,GA385,Retail Management,219.0,319,219.0
595,GA480,Construction Management,260.0,312,260.0
596,GA482,Quantity Surveying and Construction Economics,280.0,340,280.0
597,GA483,Architectural Technology,251.0,321,251.0
598,GA484,Civil Engineering,270.0,362,270.0
599,GA580,Software and Electronic Engineering,301.0,351,301.0
600,GA680,Mechanical Engineering,336.0,389,336.0
601,GA681,Energy Engineering,281.0,328,281.0
602,GA682,Biomedical Engineering,331.0,383,331.0
603,GA683,Agricultural Engineering,301.0,365,301.0
604,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346.0,406,346.0
605,GA780,Applied Freshwater and Marine Biology,300.0,360,300.0
606,GA781,Applied Biology and Biopharmaceutical Science,317.0,376,317.0
607,GA782,Chemical and Pharmaceutical Science,307.0,346,307.0
608,GA783,Physics and Instrumentation,373.0,378,373.0
609,GA784,Science (Undenominated),327.0,377,327.0
610,GA785,Medical Science,451.0,486,451.0
611,GA786,Forensic Science and Analysis,300.0,366,300.0
612,GA787,Computing in Software Development,275.0,327,275.0
613,GA788,Computing and Digital Media,270.0,327,270.0
614,GA789,Agriculture and Environmental Management (Mountbellew Campus),297.0,339,297.0
615,GA790,Sport and Exercise Science,350.0,379,350.0
616,GA791,Public Health Nutrition,364.0,397,364.0
617,GA880,General Nursing - Mayo Campus,,400,
618,GA882,Psychiatric Nursing - Mayo Campus,346.0,370,346.0
619,GA885,Outdoor Education - Mayo Campus,210.0,298,210.0
620,GA887,History and Geography - Mayo Campus,228.0,296,228.0
621,GA889,Applied Social Care - Mayo Campus,260.0,297,260.0
622,GA890,Early Childhood Care and Education - Mayo Campus,278.0,319,278.0
623,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376.0,389,376.0
624,GA981,Furniture Design and Manufacture - Letterfrack Campus,271.0,350,271.0
625,GA982,Furniture and Wood Technology - Letterfrack Campus,270.0,352,270.0
627,GY101,Arts (Joint-Honours),300.0,374,300.0
628,GY104,Arts (Psychology),507.0,529,507.0
629,GY105,Arts (History),318.0,358,318.0
630,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330.0,397,330.0
631,GY109,Arts (Mathematics and Education),411.0,487,411.0
632,GY110,Arts with Children's Studies,382.0,409,382.0
633,GY111,Arts with Creative Writing,402.0,472,402.0
634,GY112,Arts with Film Studies,338.0,370,338.0
635,GY113,Arts with Human Rights,338.0,409,338.0
636,GY115,Arts with Performing Arts Studies,328.0,367,328.0
637,GY118,"Arts (Drama, Theatre and Performance Studies)",410.0,451,410.0
638,GY119,Journalism,410.0,475,410.0
639,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309.0,346,309.0
640,GY121,Arts (Children's Studies),356.0,389,356.0
641,GY122,Na Dána (Cumarsáid agus Gaeilge),308.0,399,308.0
642,GY123,BSc (Applied Social Sciences),357.0,388,357.0
643,GY124,Arts (Arts with Data Science),434.0,466,434.0
644,GY125,Arts (Digital Arts and Technology),324.0,379,324.0
645,GY126,Arts (English and Media Studies),418.0,451,418.0
646,GY127,Arts (Film and Digital Media),387.0,435,387.0
647,GY128,Arts (Global Languages),370.0,440,370.0
648,GY129,Arts (International),408.0,477,408.0
649,GY130,Arts (Music),400.0,444,400.0
650,GY131,Arts (History and Globalisation Studies),340.0,431,340.0
651,GY132,"Government (Politics, Economics and Law)",402.0,444,402.0
652,GY133,Education (Computer Science and Mathematical  Studies),401.0,466,401.0
653,GY201,Commerce,420.0,453,420.0
654,GY202,Commerce (International) with French,484.0,513,484.0
655,GY203,Commerce (International) with German,489.0,541,489.0
656,GY204,Commerce (International) with Spanish,484.0,500,484.0
657,GY206,Business Information Systems (Work Placement & Optional Int`l Study),431.0,445,431.0
658,GY207,Commerce (Accounting) including optional Global Experience year,486.0,510,486.0
659,GY208,Commerce (Gaeilge),473.0,488,473.0
660,GY209,Commerce (Global Experience),509.0,531,509.0
661,GY250,Law & Business,436.0,467,436.0
662,GY251,Law,473.0,498,473.0
663,GY252,Law & Human Rights,510.0,521,510.0
664,GY261,"Business Studies (International Hotel Management, Shannon)",,615,
665,GY262,"Commerce (International Hotel Management, Shannon)",,726,
666,GY301,Science,400.0,456,400.0
667,GY303,Biomedical Science,533.0,566,533.0
668,GY304,Biotechnology,473.0,507,473.0
669,GY308,Environmental Science,413.0,440,413.0
670,GY309,Financial Mathematics and Economics,454.0,498,454.0
671,GY310,Marine Science,409.0,456,409.0
672,GY313,Environmental Health and Safety,402.0,435,402.0
673,GY314,Earth and Ocean Sciences,402.0,425,402.0
674,GY318,Biopharmaceutical Chemistry,510.0,532,510.0
675,GY319,Mathematical Science,456.0,531,456.0
676,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401.0,487,401.0
677,GY350,Computer Science and Information Technology,425.0,466,425.0
678,GY401,Engineering (Undenominated),444.0,499,444.0
679,GY402,Civil Engineering,509.0,543,509.0
680,GY405,Mechanical Engineering,443.0,499,443.0
681,GY406,Electronic and Computer Engineering,509.0,547,509.0
682,GY408,Biomedical Engineering,519.0,543,519.0
683,GY410,Project and Construction Management,434.0,464,434.0
684,GY413,Energy Systems Engineering,532.0,589,532.0
685,GY414,Electrical and Electronic Engineering,454.0,487,454.0
686,GY501,"Medicine (five year/six year course, HPAT required)",,731,
687,GY502,Occupational Therapy,532.0,543,532.0
688,GY503,Speech and Language Therapy,529.0,543,529.0
689,GY504,Podiatric Medicine,434.0,463,434.0
690,GY515,General Nursing (Galway and Portiuncula),442.0,466,442.0
691,GY516,Mental Health Nursing,388.0,413,388.0
692,GY517,Midwifery,429.0,468,429.0
694,LY108,Business - Accounting,318.0,399,318.0
695,LY118,Business,287.0,352,287.0
696,LY208,Law,300.0,359,300.0
697,LY218,Business - with Spanish/Irish options,298.0,367,298.0
698,LY228,Sports and Exercise (Common Entry),278.0,330,278.0
699,LY408,Design (Common Entry),,368,
700,LY508,Fire Safety Engineering,270.0,299,270.0
701,LY518,Quantity Surveying,307.0,368,307.0
702,LY528,Construction Management,267.0,291,267.0
703,LY608,Mechanical Engineering,304.0,333,304.0
704,LY618,Electronics and Embedded Systems,307.0,339,307.0
705,LY708,Applied Computing,300.0,348,300.0
706,LY818,Science (Common Entry),302.0,371,302.0
707,LY828,Agriculture (Common Entry),300.0,342,300.0
708,LY908,General Nursing,383.0,390,383.0
709,LY918,Psychiatric Nursing,,332,
710,LY928,Intellectual Disability Nursing,288.0,299,288.0
711,LY968,"Early Childhood Care, Health and Education",300.0,336,300.0
712,LY978,Health & Social Care (Common Entry),260.0,299,260.0
714,MI001,Contemporary & Applied Theatre Studies,345.0,381,345.0
715,MI002,Arts (offered in conjunction with the University of Limerick),300.0,378,300.0
716,MI005,Education - Primary Teaching,,506,
717,MI006,Education - Primary Teaching (Gaeltacht Applicants),,473,
718,MI007,Early Childhood Care and Education,366.0,402,366.0
719,MI008,Education and Psychology - Primary Teaching,543.0,555,543.0
720,MI009,"Education, Business Studies and Accounting (Thurles Campus)",392.0,420,392.0
721,MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",326.0,355,326.0
722,MI011,"Education, Irish and Religious Studies (Thurles Campus)",377.0,387,377.0
723,MI012,"Education, Irish and Business Studies (Thurles Campus)",398.0,440,398.0
724,MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",433.0,465,433.0
726,CI101,Counselling and Psychotherapy (Limerick),276.0,328,276.0
728,LC110,"Art and Design (Common Entry, portfolio)",,918,
729,LC114,Fashion and Textiles for Product and Costume (portfolio),,988,
730,LC220,Digital Marketing,254.0,288,254.0
731,LC223,Law and Taxation,308.0,372,308.0
732,LC224,Accounting and Finance,299.0,382,299.0
733,LC225,Marketing and Management,298.0,337,298.0
734,LC226,Enterprise and Innovation,216.0,298,216.0
735,LC233,Software Development,300.0,371,300.0
736,LC234,Interactive Digital Media,219.0,288,219.0
737,LC236,Internet Systems Development,298.0,319,298.0
738,LC239,Computer Networks and Systems Management,335.0,347,335.0
739,LC241,Construction Management,276.0,303,276.0
740,LC242,Property Valuation and Management,292.0,328,292.0
741,LC243,Quantity Surveying,281.0,360,281.0
742,LC248,Built Environment (Common Entry),307.0,350,307.0
743,LC252,Civil Engineering Management,281.0,331,281.0
744,LC263,Clinical Technology,282.0,359,282.0
745,LC265,Forensic and Pharmaceutical Sciences,335.0,368,335.0
746,LC266,Drug and Medicinal Product Analysis,236.0,299,236.0
747,LC275,Electrical Engineering,288.0,340,288.0
748,LC288,Mechanical Engineering,307.0,360,307.0
749,LC289,Precision Engineering,280.0,369,280.0
750,LC292,Social Care Work,360.0,389,360.0
751,LC293,Business Studies with Travel and Tourism Management,299.0,326,299.0
752,LC294,Business Studies with Event Management,271.0,300,271.0
753,LC295,Business Studies with Sports Management,263.0,298,263.0
754,LC297,Community Development,217.0,269,217.0
755,LC320,Business,337.0,378,337.0
756,LC330,Business with Computing,298.0,326,298.0
757,LC340,Interior Design,298.0,349,298.0
758,LC362,Biotechnology and Biopharmaceutical Sciences,379.0,402,379.0
759,LC371,Creative Broadcast and Film Production,298.0,339,298.0
760,LC372,Music Technology and Production,321.0,369,321.0
761,LC374,Renewable and Electrical Energy Engineering,317.0,368,317.0
762,LC375,Industrial Automation & Robotic Systems,321.0,368,321.0
763,LC376,Electronic Engineering,308.0,346,308.0
764,LC380,Automotive Engineering and Transport Management,282.0,329,282.0
765,LC392,Beauty and Spa Management,217.0,318,217.0
766,LC393,Early Childhood Education & Care,260.0,309,260.0
767,LC401,Early Childhood Education & Care (Thurles),298.0,387,298.0
768,LC402,Social Care Work (Thurles),209.0,290,209.0
769,LC408,Environmental and Geographical Sciences (Thurles),262.0,346,262.0
770,LC411,Marketing and Management (Thurles),226.0,300,226.0
771,LC418,Computing - Games Design and Development (Thurles),271.0,318,271.0
772,LC422,Sports Strength and Conditioning (Thurles),288.0,333,288.0
773,LC434,Environmental Management in Agriculture (Thurles),278.0,347,278.0
774,LC502,"Game Art and Design (Clonmel, portfolio)",,950,
775,LC517,Creative Media and Design (Clonmel),229.0,273,229.0
776,LC518,"Digital Animation Production (Clonmel, portfolio)",,962,
777,LC612,Social Care Work (Ennis),319.0,338,319.0
778,LC613,Early Childhood Education & Care (Ennis),346.0,388,346.0
780,LM002,Arts (offered in conjunction with Mary Immaculate College),329.0,388,329.0
781,LM020,Law and Accounting,436.0,476,436.0
782,LM026,Performing Arts (audition required),,367,
783,LM028,Criminal Justice,387.0,409,387.0
784,LM029,Law Plus,473.0,499,473.0
785,LM038,Psychology and Sociology,478.0,489,478.0
786,LM039,Journalism and New Media,388.0,430,388.0
787,LM040,European Studies,350.0,462,350.0
788,LM044,Applied Languages,404.0,473,404.0
789,LM050,Business Studies,419.0,455,419.0
790,LM056,International Business,511.0,543,511.0
791,LM058,Financial Mathematics,434.0,543,434.0
792,LM063,Technology Management,372.0,409,372.0
793,LM068,Food Science and Health,400.0,430,400.0
794,LM076,Product Design and Technology (portfolio required),,466,
795,LM077,Aeronautical Engineering,469.0,531,469.0
796,LM082,Construction Management and Engineering,368.0,404,368.0
797,LM089,Sport and Exercise Sciences,441.0,466,441.0
798,LM090,Physical Education with concurrent Teacher Education,,520,
799,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478.0,509,478.0
800,LM093,Equine Science,338.0,381,338.0
801,LM094,Materials and Architectural Technology with concurrent Teacher Education,405.0,433,405.0
802,LM095,Materials and Engineering Technology with concurrent Teacher Education,358.0,409,358.0
803,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382.0,422,382.0
804,LM099,Architecture (portfolio required),,473,
805,LM100,Physiotherapy,,577,
806,LM101,Medicine  - Graduate Entry (GAMSAT required),,57,
807,LM102,Psychology,495.0,519,495.0
808,LM103,Paramedic Studies (B and C1 Drivers Licence),,403,
809,LM115,Chemical and Biochemical Engineering,456.0,520,456.0
810,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434.0,498,434.0
811,LM118,Electronic and Computer Engineering,401.0,498,401.0
812,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352.0,420,352.0
813,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330.0,430,330.0
814,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412.0,455,412.0
815,LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,,521,
816,LM125,Physics (Applied Physics/Mathematics and Physics),405.0,509,405.0
817,LM150,General Nursing,,463,
818,LM152,Mental Health Nursing,388.0,418,388.0
819,LM154,Intellectual Disability Nursing,,408,
820,LM156,Midwifery,429.0,444,429.0
822,MU001,Theology and Arts,290.0,318,290.0
823,MU002,Theology,292.0,377,292.0
825,MH001,Education - Primary Teaching (Froebel),,520,
827,MH101,Arts,316.0,369,316.0
828,MH103,Music,,367,
829,MH106,Psychology - 3 years,495.0,499,495.0
830,MH107,Social Science,326.0,349,326.0
831,MH109,Media Studies,317.0,377,317.0
832,MH116,Community and Youth Work (Full-Time),,271,
833,MH201,Science,350.0,392,350.0
834,MH202,Biotechnology,429.0,446,429.0
835,MH204,Physics with Astrophysics,420.0,488,420.0
836,MH206,Theoretical Physics and Mathematics,498.0,566,498.0
837,MH207,Data Science,434.0,466,434.0
838,MH208,Biological and Biomedical Sciences,451.0,476,451.0
839,MH209,Psychology (through Science) - 4 years,473.0,485,473.0
840,MH210,Pharmaceutical and Biomedical Chemistry,446.0,466,446.0
841,MH212,Science/Computer Science/Mathematics (with Education) - options,444.0,476,444.0
842,MH304,Engineering (Computer/Electronic/Communications),371.0,423,371.0
843,MH305,Product Design,358.0,411,358.0
844,MH306,Robotics and Intelligent Devices,361.0,424,361.0
845,MH401,Finance (options),352.0,392,352.0
846,MH402,Quantitative Finance,476.0,487,476.0
847,MH403,Accounting and Finance,402.0,432,402.0
848,MH404,Business (options),400.0,429,400.0
849,MH405,Equine Business,357.0,398,357.0
850,MH407,Business and Accounting,401.0,420,401.0
851,MH411,Entrepreneurship,358.0,388,358.0
852,MH501,LLB Law - four year Single Major Law programme,451.0,476,451.0
853,MH502,Law (options),410.0,442,410.0
854,MH601,Computer Science through Arts (options),342.0,369,342.0
855,MH602,Computer Science through Science (options),357.0,413,357.0
856,MH603,Computational Thinking,520.0,543,520.0
857,MH801,Early Childhood - Teaching and Learning (part-time),347.0,358,347.0
861,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",,497,
862,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",,433,
863,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421.0,457,421.0
864,AS051,"Nutrition, Food and Business Management",337.0,399,337.0
865,AS054,Home Economics,387.0,401,387.0
866,AS110,General Nursing,,409,
867,AS130,Intellectual Disability Nursing,317.0,338,317.0
869,SG141,Business,252.0,317,252.0
870,SG142,Business in International Marketing and Sales with French,270.0,388,270.0
871,SG144,Business in International Marketing and Sales with Spanish,280.0,388,280.0
872,SG146,Accounting,307.0,347,307.0
873,SG147,Sport with Business,269.0,316,269.0
874,SG148,Tourism with Event Management,246.0,282,246.0
875,SG149,Business in Finance and Investment,262.0,357,262.0
876,SG241,Performing Arts,279.0,348,279.0
877,SG242,Early Childhood Care and Education,278.0,318,278.0
878,SG243,Social Care Practice,297.0,338,297.0
879,SG244,Fine Art,,496,
880,SG245,Creative Design,261.0,338,261.0
881,SG246,Computing,295.0,368,295.0
882,SG247,English and Psychology,308.0,336,308.0
883,SG248,Sociology and Politics,282.0,320,282.0
884,SG249,Writing and Literature,279.0,338,279.0
885,SG250,Application Design and User Experience,290.0,431,290.0
886,SG251,Computing (Smart Technologies),303.0,391,303.0
887,SG252,Software Development,300.0,354,300.0
888,SG253,Computer Networks and Cloud Infrastructure,273.0,341,273.0
889,SG343,Quantity Surveying,261.0,302,261.0
890,SG346,Construction Project Management and Applied Technology,289.0,351,289.0
891,SG347,Architecture,309.0,357,309.0
892,SG441,Environmental Science,297.0,358,297.0
893,SG442,Occupational Safety and Health,289.0,330,289.0
894,SG443,Human Nutrition,357.0,419,357.0
895,SG444,Science (Undenominated),308.0,369,308.0
896,SG445,Pharmaceutical Science with Drug Development,347.0,369,347.0
897,SG446,Applied Archaeology,289.0,290,289.0
898,SG447,Health Science and Physical Activity,316.0,363,316.0
899,SG448,Forensic Investigation and Analysis,306.0,348,306.0
900,SG449,Medical Biotechnology,329.0,352,329.0
902,TL801,Animation Visual Effects and Motion Design,281.0,341,281.0
903,TL802,"TV, Radio and New Media",306.0,356,306.0
904,TL803,Music Technology,264.0,288,264.0
905,TL810,Computing with Software Development,309.0,341,309.0
906,TL811,Computing with Games Development,310.0,334,310.0
907,TL812,Computing with Digital Media,369.0,369,369.0
908,TL815,Computing (Degree Award options),308.0,378,308.0
909,TL823,Event Management (3 year programme),291.0,346,291.0
910,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307.0,372,307.0
912,TL844,Agricultural Engineering,311.0,368,311.0
913,TL845,Civil Engineering,300.0,364,300.0
915,TL848,Agricultural Science,331.0,362,331.0
916,TL851,Wildlife Biology (Degree Award options),310.0,362,310.0
917,TL855,Pharmaceutical Science (Degree Award options),342.0,386,342.0
918,TL858,Veterinary Bioscience,326.0,369,326.0
919,TL871,Health and Leisure (Degree Award options),303.0,346,303.0
920,TL872,Health and Leisure with Massage,288.0,357,288.0
921,TL873,Coaching and Sports Performance,282.0,336,282.0
922,TL880,Early Childhood Care and Education,307.0,347,307.0
923,TL881,Social Care,308.0,356,308.0
925,TL890,General Nursing and Mature Applicants,407.0,431,407.0
926,TL891,Mental Health Nursing and Mature Applicants,,379,
928,WD001,Applied Computing (options),279.0,358,279.0
929,WD002,Science (options),302.0,377,302.0
930,WD005,Health Sciences (options),288.0,347,288.0
931,WD006,Exercise Sciences (options),282.0,337,282.0
932,WD007,Engineering (options),287.0,382,287.0
933,WD025,Construction Management and Engineering,269.0,327,269.0
934,WD027,Music,,317,
935,WD048,Business (options),278.0,357,278.0
936,WD084,Accounting,307.0,403,307.0
937,WD091,Hospitality Management,210.0,281,210.0
938,WD116,General Nursing,413.0,430,413.0
939,WD117,Psychiatric Nursing,361.0,382,361.0
940,WD120,Intellectual Disability Nursing,338.0,359,338.0
941,WD134,International Business,289.0,350,289.0
942,WD137,Design (Visual Communications),253.0,373,253.0
943,WD140,Laws,290.0,352,290.0
944,WD144,Architecture,283.0,385,283.0
945,WD147,Pharmaceutical Science,298.0,363,298.0
946,WD148,Tourism Marketing,269.0,338,269.0
947,WD149,Early Childhood Studies,288.0,336,288.0
948,WD150,Criminal Justice Studies,271.0,311,271.0
949,WD152,Visual Art,253.0,323,253.0
950,WD161,Computer Forensics and Security,262.0,401,262.0
951,WD162,Quantity Surveying,260.0,320,260.0
952,WD163,Psychology,390.0,429,390.0
953,WD186,Sports Coaching and Performance,276.0,327,276.0
954,WD187,Social Science,271.0,321,271.0
955,WD191,Agricultural Science,378.0,421,378.0
956,WD192,Social Care Practice,279.0,323,279.0
957,WD193,Marketing and Digital Media,290.0,358,290.0
958,WD194,Culinary Arts,235.0,331,235.0
959,WD195,Architectural and Building Information Modelling Technology,266.0,305,266.0
960,WD200,Arts (options),221.0,296,221.0
961,WD210,Software Systems Development,271.0,329,271.0
962,WD211,Creative Computing,275.0,322,275.0
963,WD212,Recreation and Sport Management,274.0,311,274.0
964,WD230,Mechanical and Manufacturing Engineering,273.0,348,273.0
