Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019,Institution
BN108,Engineering (Common Entry with Award options),,,271.0,Technological University Dublin Blanchardstown Campus
BN109,Business (Common Entry with Award options),,,260.0,Technological University Dublin Blanchardstown Campus
BN110,International Business,,,253.0,Technological University Dublin Blanchardstown Campus
BN111,Sports Management and Coaching,,,270.0,Technological University Dublin Blanchardstown Campus
BN112,Creative Digital Media,,,280.0,Technological University Dublin Blanchardstown Campus
BN113,Horticulture,,,289.0,Technological University Dublin Blanchardstown Campus
BN114,Accounting and Finance,,,280.0,Technological University Dublin Blanchardstown Campus
BN115,Community and Youth Development,,,250.0,Technological University Dublin Blanchardstown Campus
BN117,Computer Engineering in Mobile Systems,,,273.0,Technological University Dublin Blanchardstown Campus
BN118,Early Childhood Care and Education,,,290.0,Technological University Dublin Blanchardstown Campus
BN119,Digital Marketing,,,270.0,Technological University Dublin Blanchardstown Campus
BN120,Digital Forensics and Cyber Security,,,281.0,Technological University Dublin Blanchardstown Campus
BN121,Mechatronic Engineering,,,276.0,Technological University Dublin Blanchardstown Campus
BN123,"Design,Technology and Innovation",,,297.0,Technological University Dublin Blanchardstown Campus
BY001,Business,210.0,,,IBAT College Dublin
CI001,Counselling Skills and Psychotherapy Studies,,300.0,,Irish College of Humanities & Applied Sciences
CI002,Counselling Skills and Addiction Studies,,309.0,,Irish College of Humanities & Applied Sciences
CI005,Counselling Skills and Youth Studies,,302.0,,Irish College of Humanities & Applied Sciences
CI101,Counselling and Psychotherapy (Limerick),,,276.0,Irish College of Humanities & Applied Sciences
CI110,Counselling and Psychotherapy,292.0,310.0,,Irish College of Humanities & Applied Sciences
CI111,Counselling and Psychotherapy with Addiction Studi,290.0,301.0,,Irish College of Humanities & Applied Sciences
CI112,Counselling and Psychotherapy with Youth Studies,325.0,311.0,,Irish College of Humanities & Applied Sciences
CK101,Arts - 3 years,300.0,300.0,300.0,University College Cork(NUI)
CK102,Social Science,431.0,412.0,391.0,University College Cork(NUI)
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339.0,302.0,,University College Cork(NUI)
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),420.0,319.0,397.0,University College Cork(NUI)
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312.0,328.0,326.0,University College Cork(NUI)
CK108,Arts International - 4 years,440.0,401.0,429.0,University College Cork(NUI)
CK109,English - 3 years or 4 years (International Pathway),357.0,318.0,347.0,University College Cork(NUI)
CK110,World Languages,488.0,410.0,456.0,University College Cork(NUI)
CK111,Early Years and Childhood Studies,403.0,419.0,398.0,University College Cork(NUI)
