,Course_Code,Course_Title,EOS_2019,Mid
130,CK209,Commerce (International) with Irish,509.0,528
131,CK211,Commerce (International) with Chinese Studies,398.0,420
132,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400.0,429
133,CK301,Law (Pathways) -  3 or 4 years,476.0,519
134,CK302,Law and French,453.0,531
135,CK304,Law and Irish,462.0,510
136,CK307,Law and Business,522.0,554
137,CK401,Computer Science,402.0,456
138,CK402,Biological and Chemical Sciences,498.0,520
139,CK404,"Biological, Earth and Environmental Sciences",412.0,451
140,CK405,Genetics,476.0,496
141,CK406,Chemical Sciences,457.0,488
142,CK407,Mathematical Sciences,531.0,578
143,CK408,Physics and Astrophysics,511.0,566
144,CK409,Industrial Physics (offered jointly by UCC and CIT),413.0,532
145,CK411,Data Science and Analytics,509.0,542
146,CK412,Agricultural Science,457.0,509
147,CK502,Food Marketing and Entrepreneurship,433.0,456
148,CK504,Nutritional Sciences,492.0,509
149,CK505,Food Science,444.0,477
150,CK506,International Development and Food Policy,367.0,410
151,CK600,Engineering,465.0,532
152,CK606,Architecture (offered jointly by UCC and CIT),465.0,496
153,CK701,Medicine (Undergraduate Entry - HPAT required),,740
154,CK702,Dentistry,590.0,613
155,CK703,Pharmacy,577.0,589
156,CK704,Occupational Therapy,,554
157,CK705,Speech and Language Therapy,509.0,529
158,CK706,Public Health Sciences,419.0,451
159,CK707,Medical and Health Sciences,,543
160,CK710,General Nursing,440.0,466
161,CK712,Children`s and General Nursing (Integrated),499.0,520
162,CK720,Mental Health Nursing,398.0,429
163,CK730,Intellectual Disability Nursing,359.0,388
164,CK740,Midwifery,444.0,474
165,CK791,Medicine  - Graduate Entry (GAMSAT required),,59
166,AC120,International Business,234.0,269
167,AC137,Liberal Arts,252.0,275
168,CT125,Information Technology,235.0,280
169,CM001,Education - Primary Teaching,,462
170,CM002,Education - Primary Teaching - Gaeltacht Applicants,,440
171,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,,506
172,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),,569
173,CM010,Education Studies,317.0,373
174,CM020,Early Childhood Education,336.0,363
175,DB500,Computing,242.0,320
176,DB501,Computing (Cloud Computing),326.0,329
177,DB502,Computing (Data Analytics and Big Data),269.0,269
178,DB503,Computing (Software Development),242.0,282
179,DB504,Computing (Web and Mobile Technology),227.0,269
180,DB510,Audio Production and Music Project Management,233.0,293
181,DB512,Business Studies,229.0,301
182,DB514,Business Studies (Law),269.0,337
183,DB515,Business Studies (Human Resource Management),225.0,288
184,DB516,Financial Services,328.0,336
185,DB517,Event Management,226.0,327
186,DB518,Marketing (Digital Media),210.0,289
187,DB521,Accounting and Finance,225.0,271
188,DB524,Business Information Systems,402.0,402
189,DB525,Marketing (Digital Media and Cloud Computing),284.0,309
190,DB526,Business Information Systems (Cloud Computing),253.0,288
191,DB527,Applied Social Care,235.0,288
192,DB531,Marketing,220.0,288
193,DB562,Psychology,208.0,310
194,DB566,Social Science,216.0,308
195,DB567,Film,192.0,295
196,DB568,Law,245.0,308
197,DB569,Business (Psychology),279.0,338
198,DC001,Education - Early Childhood Education,398.0,424
199,DC002,Education - Primary Teaching,,485
200,DC003,Education - Primary Teaching - Gaeltacht Applicants,,473
201,DC005,Education - Primary Teaching - Irish Sign Language,,316
202,DC009,Arts (Joint Honours) - Humanities,347.0,408
203,DC010,Post Primary Teacher Education - Religious Education and English,386.0,413
204,DC011,Post Primary Teacher Education - Religious Education and History,352.0,389
205,DC012,Post Primary Teacher Education - Religious Education and Music,,415
206,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410.0,509
207,DC014,BA in Jazz and Contemporary Music Performance,,590
208,DC110,Business Studies International,440.0,462
209,DC111,Business Studies,463.0,479
210,DC112,Global Business (France),495.0,510
211,DC113,Global Business (Germany),440.0,476
212,DC114,Global Business (Spain),501.0,543
213,DC115,Accounting and Finance,487.0,500
214,DC116,Global Business (USA),578.0,589
215,DC117,Aviation Management / Aviation Management with Pilot Studies,463.0,487
216,DC118,Gnó agus Gaeilge / Business and Irish,357.0,399
217,DC119,Global Business (Canada),566.0,577
218,DC120,Enterprise Computing,350.0,389
219,DC121,Computer Applications,370.0,418
220,DC123,Data Science,467.0,511
221,DC126,Actuarial Mathematics,520.0,543
222,DC127,Common Entry into Actuarial and Financial Mathematics,509.0,531
223,DC131,Communication Studies,400.0,441
224,DC132,Journalism,401.0,440
225,DC133,Multimedia,403.0,451
226,DC155,Applied Language and Translation Studies,371.0,430
227,DC161,Analytical Science,446.0,463
228,DC162,Chemical and Pharmaceutical Sciences,488.0,498
229,DC166,Environmental Science and Technology,412.0,442
230,DC167,Physics with Astronomy,434.0,477
231,DC168,Genetics and Cell Biology,489.0,500
232,DC171,Applied Physics,402.0,433
233,DC173,Physics with Biomedical Sciences,402.0,458
234,DC181,Biotechnology,476.0,488
235,DC190,Electronic and Computer Engineering (with choice of four majors),391.0,433
236,DC193,Mechatronic Engineering,404.0,445
237,DC195,Mechanical and Manufacturing Engineering,401.0,444
238,DC197,Biomedical Engineering,402.0,446
239,DC200,Common Entry into Engineering (Undenominated Entry),381.0,444
240,DC201,Common Entry into Science (Undenominated Entry),454.0,477
241,DC202,Sport Science and Health,467.0,476
242,DC203,Science Education,424.0,476
